,county_fips,period_end,property_type,property_type_id,median_sale_price_yoy,median_list_price_yoy,median_ppsf_yoy,median_list_ppsf_yoy,homes_sold_yoy,new_listings_yoy,inventory_yoy,months_of_supply_yoy,median_dom_yoy,avg_sale_to_list_yoy,sold_above_list_yoy,date,year,month
335,25017,2016-12-31,All Residential,-1,0.0446765947988441,-0.01337379186334,0.0508009872174663,0.0441181796684639,-0.0649752475247524,-0.177489177489177,-0.258803563852355,-0.3,-5.0,0.006309367312725,0.0775304532438684,2016-12-31,2016,12
339,41053,2021-12-31,All Residential,-1,0.187390958212646,0.133333333333333,0.202938354404339,0.201253879946706,-0.253424657534246,-0.141414141414141,0.240740740740741,0.7,-4.0,-0.0148603355012202,-0.194545683046374,2021-12-31,2021,12
356,40143,2015-12-31,All Residential,-1,-0.0392156862745097,0.0363447559709242,0.0155009700143544,0.0857553414930884,0.0027972027972027,-0.0176848874598071,-0.0514382402707276,-0.2,-5.0,0.0042720423490545,0.0093064536579181,2015-12-31,2015,12
367,36095,2019-12-31,All Residential,-1,0.557692307692308,0.394418604651163,0.324534385861372,-0.0811008346876089,-0.129032258064516,-0.25,-0.0962962962962963,0.0999999999999996,-10.0,-0.0068714022454703,-0.091995221027479,2019-12-31,2019,12
369,13133,2014-12-31,All Residential,-1,-0.127659574468085,1.8671875,0.524953334971868,1.61495564593139,0.857142857142857,0.272727272727273,-0.11377245508982,-12.5,-77.0,-0.101273522028553,-0.351648351648352,2014-12-31,2014,12
373,39089,2017-12-31,All Residential,-1,0.18361153262519,0.0060642813826561,0.159550227200178,0.0604870145341911,0.075268817204301,-0.170542635658915,-0.18370883882149,-0.7,-16.0,-0.0104742110518352,0.0006989247311827,2017-12-31,2017,12
375,24017,2021-12-31,All Residential,-1,0.117241379310345,0.114795738375785,0.089598470451242,0.0489330939365055,-0.0617977528089888,-0.0689655172413793,0.156363636363636,0.2,12.0,-0.003681607836637,-0.0566339231649061,2021-12-31,2021,12
376,21211,2019-12-31,All Residential,-1,0.0304449648711944,0.0161124628277913,0.090600174496028,0.0831495474059766,-0.186666666666667,-0.166666666666667,-0.162337662337662,0.0,-12.0,0.0067085711082846,-0.0246994535519125,2019-12-31,2019,12
385,53059,2014-12-31,All Residential,-1,0.128917378917379,0.375838926174496,0.212026089211463,-0.106438251566586,-0.571428571428571,0.0,-0.0952380952380952,3.3,29.0,-0.0002600413112202,-0.119047619047619,2014-12-31,2014,12
398,47173,2015-12-31,All Residential,-1,0.5992,0.0899044205495818,0.344682180228018,-0.352377337416476,0.0,-0.428571428571429,4.08695652173913,18.8,29.0,-0.0315538282877015,-0.133333333333333,2015-12-31,2015,12
402,45041,2021-12-31,All Residential,-1,-0.295392953929539,0.239157372986369,-0.328813882734568,0.223107700859437,0.75,-0.5,-0.238095238095238,-3.0,-297.0,-0.314215603233771,-0.25,2021-12-31,2021,12
438,29186,2020-12-31,All Residential,-1,0.324626865671642,1.07014542343884,0.217452762802728,1.02423092478579,0.0625,-0.555555555555555,-0.673076923076923,-2.3,-26.0,-0.005426874367544,0.165441176470588,2020-12-31,2020,12
447,24001,2021-12-31,All Residential,-1,0.224307417336908,0.0464759959141982,0.198516922094508,-0.0293578581868187,-0.242105263157895,0.833333333333333,0.0047393364928909,0.7,-12.0,0.0107598752591672,0.0327485380116958,2021-12-31,2021,12
462,47069,2016-12-31,All Residential,-1,0.84180790960452,-0.272975432211101,1.06447898675878,-0.182097361237489,0.5,-0.4,0.371428571428571,-1.5,-104.0,0.0322523067033942,0.333333333333333,2016-12-31,2016,12
468,16069,2021-12-31,All Residential,-1,-0.003104518799586,0.359578947368421,0.448418679549114,0.4153777380638,0.148936170212766,-0.181818181818182,-0.613333333333333,-1.1,-45.0,-0.0041748374979584,-0.0070921985815602,2021-12-31,2021,12
474,05023,2018-12-31,All Residential,-1,-0.346049046321526,0.185967383246849,-0.125098539806056,0.0673688287035714,0.6875,0.0606060606060605,-0.023972602739726,-7.7,-46.0,0.0446262514168388,0.074074074074074,2018-12-31,2018,12
482,40099,2020-12-31,All Residential,-1,-0.123404255319149,-0.0166358595194084,0.213943408858663,-0.005877006308275,-0.428571428571429,1.5,1.04347826086957,8.5,-86.0,0.0094991666972092,0.107142857142857,2020-12-31,2020,12
492,45087,2018-12-31,All Residential,-1,-0.434907010014306,1.2434869739479,-0.470461294748922,0.619605217245901,3.0,-0.2,0.2,-10.5,-106.0,-0.0462218481420295,0.0,2018-12-31,2018,12
495,39023,2018-12-31,All Residential,-1,-0.0363636363636363,-0.122961104140527,0.104470934134416,-0.0987834462755912,-0.171428571428571,-0.275510204081633,-0.115124153498871,0.3,-10.0,0.0281726646036667,0.0049261083743842,2018-12-31,2018,12
512,19073,2021-12-31,All Residential,-1,0.927631578947368,-0.44512,-0.0352942655574233,-0.122998755936596,1.66666666666667,0.0,-0.533333333333333,-4.1,-235.0,0.0471476176533754,0.0,2021-12-31,2021,12
514,13129,2013-12-31,All Residential,-1,-0.216176436231105,0.275316455696202,0.0357637807536592,0.121727524007137,0.171428571428571,0.151515151515152,0.0717703349282297,-0.5,-38.0,-0.0277521203935096,0.0118466898954703,2013-12-31,2013,12
517,41017,2019-12-31,All Residential,-1,0.0457010069713399,0.0981610781898398,0.0472717392657304,0.016499549526771,0.259587020648968,-0.111111111111111,-0.179185520361991,-1.2,2.0,-0.0012328014633019,-0.0077649513308878,2019-12-31,2019,12
519,01103,2013-12-31,All Residential,-1,0.110052405907575,0.349867139061116,0.126156967018099,0.065614014167598,0.117647058823529,0.191489361702128,0.0845481049562681,-0.0999999999999996,3.0,-0.0071559659324438,0.0154798761609907,2013-12-31,2013,12
524,05051,2014-12-31,All Residential,-1,-0.0373134328358208,0.0364546104360257,-0.0853180426212889,0.120150391885028,0.206349206349206,0.483333333333333,-0.078005115089514,-2.9,3.0,0.0056895117192727,0.0603592314118629,2014-12-31,2014,12
534,21065,2013-12-31,All Residential,-1,-0.518248175182482,0.377503852080123,-0.196705882352941,0.171082824273621,0.0,-0.25,0.14,0.7,67.0,-0.079582387087377,0.0,2013-12-31,2013,12
536,50011,2019-12-31,All Residential,-1,-0.0749654764253304,0.0462555066079295,-0.0019527312285519,-0.021595692320511,1.07142857142857,0.454545454545454,-0.05078125,-4.9,-7.0,0.0045504501483091,0.0615763546798029,2019-12-31,2019,12
540,44001,2016-12-31,All Residential,-1,-0.230571941523468,0.0476267355505328,0.0638901679933356,0.0208204284599355,0.441860465116279,-0.297297297297297,-0.263157894736842,-2.8,-2.0,0.0135135222345081,0.0360090022505626,2016-12-31,2016,12
549,23027,2014-12-31,All Residential,-1,0.0112359550561798,,-0.0408794162826421,,0.173913043478261,,,,,0.0614976404762712,0.074074074074074,2014-12-31,2014,12
554,48407,2013-12-31,All Residential,-1,0.243478260869565,-0.203720106288751,0.0362326568225903,-0.0504491773779194,0.222222222222222,0.0,0.145348837209302,-0.6,-68.0,0.0039680654865853,0.136363636363636,2013-12-31,2013,12
603,13179,2014-12-31,All Residential,-1,0.128608923884515,0.533646322378717,0.314745153206306,0.165650303643725,1.0,0.133333333333333,0.741379310344828,-0.6,-69.0,0.0034086300133261,0.166666666666667,2014-12-31,2014,12
612,24043,2018-12-31,All Residential,-1,0.218823389518119,-0.0272972972972973,0.0608333333333332,-0.0028397269701044,-0.0472972972972972,-0.185840707964602,0.036101083032491,0.399999999999999,18.0,0.0010867081583875,0.105664174813111,2018-12-31,2018,12
634,19009,2013-12-31,All Residential,-1,0.314285714285714,1.19620253164557,0.0871368595904979,0.179001406469761,0.0,-0.333333333333333,0.0,0.0,139.0,0.119552669552669,0.0,2013-12-31,2013,12
649,49055,2021-12-31,All Residential,-1,-0.153333333333333,,0.741357697219766,,1.0,,,,-1481.0,0.0674750166555631,0.5,2021-12-31,2021,12
666,42107,2018-12-31,All Residential,-1,0.0865595325054784,0.447761194029851,0.258710801393728,0.320328343419,-0.06,-0.207317073170732,-0.189655172413793,-0.7,5.0,0.0145761301377898,0.0895744680851063,2018-12-31,2018,12
675,39173,2015-12-31,All Residential,-1,0.139024390243902,0.0667160859896218,-0.0032803650587444,0.0906258803254511,0.155555555555555,0.0705882352941176,-0.0071684587813619,-0.9,33.0,-0.0224634606471014,-0.0083333333333333,2015-12-31,2015,12
677,17163,2021-12-31,All Residential,-1,0.0484374999999999,0.161267605633803,-0.0398693101685313,-0.0273121713891657,0.0787878787878788,-0.329787234042553,-0.25673249551167,-0.5,-8.0,0.0155108389116915,0.0951821586653047,2021-12-31,2021,12
697,18063,2021-12-31,All Residential,-1,0.272391666666666,0.291666666666667,0.220673884117748,0.17043691420268,-0.252396166134185,-0.0571428571428571,-0.2625,0.0,1.0,0.0176562465766128,0.204868791130772,2021-12-31,2021,12
717,55105,2021-12-31,All Residential,-1,0.09347442680776,0.114,0.0961253655017026,0.162427113469311,-0.162162162162162,-0.0476190476190476,-0.0240963855421686,0.2,2.0,-0.0041114748722412,0.015983725661145,2021-12-31,2021,12
728,51061,2014-12-31,All Residential,-1,-0.0329670329670329,-0.192772289156626,0.0716599347725439,0.0497605971929502,-0.28125,-0.147540983606557,0.0388888888888889,1.6,-4.0,-0.0116770930192338,0.102807971014493,2014-12-31,2014,12
747,40101,2020-12-31,All Residential,-1,0.0537037037037038,-0.02088772845953,0.163711479700766,0.0392149335097349,0.155555555555555,0.592592592592592,-0.376712328767123,-1.4,-32.0,0.0112277946160693,0.0854700854700855,2020-12-31,2020,12
752,37097,2018-12-31,All Residential,-1,-0.0873756811340167,0.0715631575899149,0.0184474352394807,0.0179450583501525,-0.142857142857143,0.0242424242424241,0.0074557315936625,0.7,-36.0,-0.0005412789258958,0.0225563909774436,2018-12-31,2018,12
756,08005,2021-12-31,All Residential,-1,0.183132530120482,0.160493827160494,0.150968690011897,0.175677961936826,-0.119815668202765,-0.10410094637224,-0.558758314855876,-0.2,-3.0,0.0087416745226718,0.0696359205732622,2021-12-31,2021,12
773,39153,2016-12-31,All Residential,-1,-0.0026086956521739,0.0776699029126213,-0.0139943035618922,0.114507741529846,-0.0378548895899053,-0.0660980810234541,-0.177091477716966,-0.5,-12.0,0.0045195176279797,0.0151729844339866,2016-12-31,2016,12
811,45035,2018-12-31,All Residential,-1,0.0449088483770565,-0.0101872340425531,0.0414592202645545,0.0131652437189606,-0.0350877192982456,-0.228310502283105,-0.116494845360825,-0.3,-7.0,-0.0042578045975324,-0.0362360446570972,2018-12-31,2018,12
829,53007,2015-12-31,All Residential,-1,0.246808510638298,0.087843137254902,0.106344258715567,0.0359758168669128,0.170212765957447,-0.161290322580645,-0.0275229357798164,-0.7,-32.0,-0.0004468562692915,-0.100580270793037,2015-12-31,2015,12
847,47093,2017-12-31,All Residential,-1,0.105882352941176,0.0218673218673217,0.0635218124156717,0.0358112758310873,0.0115511551155116,-0.0129198966408268,-0.101049868766404,-0.4,-23.0,0.006711598024615,0.015965952223281,2017-12-31,2017,12
866,54003,2012-12-31,All Residential,-1,0.0128554733151537,0.119095276220977,0.0697915612138044,0.170764970185103,0.0526315789473683,-0.0093457943925233,-0.165079365079365,-1.1,1.0,-0.0096586040296386,-0.0070175438596491,2012-12-31,2012,12
868,49047,2016-12-31,All Residential,-1,-0.248717948717949,-0.0819269714636391,-0.197431781701445,-0.158806948859344,0.193548387096774,-0.173076923076923,-0.228295819935691,-3.5,-12.0,0.0131349814980431,0.054925893635571,2016-12-31,2016,12
899,39123,2016-12-31,All Residential,-1,0.425,0.3125,0.203775403644967,0.465087258969978,-0.272727272727273,-0.357142857142857,-0.16030534351145,1.9,1.0,0.0144184326455868,0.034090909090909,2016-12-31,2016,12
910,21051,2012-12-31,All Residential,-1,-0.723611111111111,0.827055779183439,-0.647925037432559,-0.512917859071484,-0.75,0.0,-0.206896551724138,15.7,-258.0,0.0897457720806061,0.0,2012-12-31,2012,12
927,51069,2021-12-31,All Residential,-1,0.272885789014821,0.217550884217551,0.090082173454864,0.132308900529043,-0.125,0.127450980392157,-0.0392156862745097,0.1,3.0,0.0011625896348095,0.0421428571428571,2021-12-31,2021,12
957,40133,2021-12-31,All Residential,-1,1.02758620689655,2.13032581453634,0.75881026206877,2.09584548104956,0.8,-0.315789473684211,-0.142857142857143,-2.6,-86.0,0.0150671654365448,0.133333333333333,2021-12-31,2021,12
