,home_value_median,median_ppsf,median_list_price,median_list_ppsf,median_sale_price
260,154000.0,91.267883571781,168000.0,100.502873563218,174000.0
265,227500.0,164.7733776859,299000.0,175.782504012841,327301.5
266,228600.0,181.557497810785,279900.0,188.615526122149,327000.0
267,272000.0,193.92523364486,350000.0,197.961373390558,346000.0
268,277400.0,203.473684210526,361950.0,200.918708608959,367721.5
269,293800.0,207.712455830389,362735.5,201.302336663194,385000.0
270,317700.0,221.158230734154,444000.0,235.204855842185,469000.0
285,206300.0,117.984693877551,219900.0,124.084419615146,225000.0
286,228300.0,127.866972477064,236150.0,133.885102239533,238000.0
287,239300.0,135.844748858448,245000.0,141.503267973856,255000.0
288,256500.0,146.714466775013,264200.0,153.846153846154,275000.0
289,276800.0,157.356291948386,285000.0,163.901639344262,305000.0
290,293600.0,170.141801902207,308000.0,176.649617162947,350000.0
295,104400.0,101.5625,189000.0,117.254901960784,129250.0
296,120900.0,102.972715318869,139900.0,98.3134223471539,185000.0
297,98700.0,116.04774535809,205000.0,122.02380952381,259900.0
298,138900.0,133.63590519415,299888.0,145.333747901296,224000.0
299,124600.0,132.65453909223,257388.5,152.267651148481,302000.0
300,148000.0,173.328144298065,214949.5,141.447671545161,310000.0
305,158400.0,99.3736753264884,169000.0,102.77525022748,178000.0
306,165900.0,106.537733801869,174000.0,106.520657043305,179900.0
307,170300.0,112.546125461255,194700.0,115.743778320969,205000.0
308,182300.0,120.740019474197,206734.0,124.896115196219,210000.0
309,198100.0,129.50880898238,219900.0,134.328358208955,237375.0
310,211600.0,139.305355751364,240000.0,141.964792731403,262000.0
315,145900.0,84.4827586206897,169000.0,90.5642865113332,168000.0
316,156500.0,89.3832943013271,175000.0,97.0853573907009,178000.0
317,166300.0,97.5293685667193,188900.0,101.926345609065,199900.0
318,179900.0,106.890876377261,210000.0,115.896921017403,214990.0
319,200200.0,118.127584170112,224000.0,122.189308185577,236695.0
320,213300.0,130.578609436779,242000.0,134.374969683189,278000.0
335,192700.0,133.257939564454,300759.0,148.372093023256,255000.0
336,216300.0,140.565655394607,322500.0,158.438985736926,280000.0
337,227500.0,153.091557669441,350000.0,168.620473113132,312000.0
338,260900.0,164.636896707262,370000.0,173.244147157191,320000.0
339,261700.0,178.528708133971,367450.0,188.062124131488,360000.0
340,288500.0,193.506493506494,385000.0,209.088374686367,419000.0
365,157200.0,88.5852090032154,155000.0,89.0269151138717,165000.0
366,166200.0,92.9539295392954,179950.0,94.0020161290322,173000.0
367,170200.0,98.9474951830443,185000.0,103.565878330649,178750.0
368,180500.0,104.026845637584,187108.0,105.964785353049,199000.0
369,196700.0,110.19327106931,217252.0,116.460275835276,225000.0
370,206300.0,117.566331198536,230000.0,122.055674518201,238000.0
456,136500.0,80.2757793764988,119900.0,66.6488794023479,138000.0
457,132900.0,77.2996650347849,133700.0,86.7030716716197,155900.0
458,135400.0,81.2121212121212,154950.0,87.3919363414685,142500.0
459,137500.0,76.6509433962264,162450.0,92.2680353178232,140137.5
460,149700.0,84.5556238438688,145950.0,91.4511041009464,175500.0
461,157800.0,98.1041603324212,174900.0,96.6981132075472,167000.0
507,147800.0,85.2525862719928,149950.0,88.3641095004264,142500.0
508,160700.0,84.1060972039233,150000.0,90.3819918144611,157500.0
509,159900.0,91.6617386162034,149900.0,94.9967298888162,165000.0
510,165200.0,94.4094488188976,149200.0,97.4930362116992,155000.0
511,159900.0,96.8253968253968,173900.0,101.986159868574,180000.0
512,170000.0,102.183252884187,166240.0,104.844356867758,186300.0
529,124800.0,63.6505485804773,145000.0,81.9778613199666,123000.0
530,134500.0,67.5,169250.0,90.6584195318816,143050.0
531,142600.0,82.601937536148,159700.0,86.7739678096571,145000.0
532,140400.0,80.2139037433155,159900.0,90.2538268615411,153000.0
533,149500.0,83.6261419536191,165000.0,89.4138939472482,159950.0
534,139100.0,93.0744999045417,169950.0,105.088195386703,184125.0
604,83900.0,41.40625,47250.0,35.2216784416863,75000.0
605,80200.0,44.0476190476191,75000.0,45.6936226166995,73200.0
606,88000.0,49.8921562867215,82400.0,44.6918554364606,86500.0
607,85800.0,56.817692777773,68900.0,41.0798122065728,105600.0
608,84100.0,53.0095759233926,72000.0,49.0837696335079,120450.0
